f0,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,f15,f16,f17,f18,f19,f20,f21,f22,f23,f24,f25,f26,f27,f28,f29,f30,f31,f32,f33,f34,f35,f36,f37,f38,target
12.0,15.0,20.0,1.0,7.0,16.0,9.0,0.17,8.0,2.0,7.0,0.78,56.0,5.0,0.5,52.0,1.0,7.0,0.78,99.0,17.94,31877.94,0.59,287.0,0.06,1771.0,1776.48,0.56,4.0,8.0,49.0,0.12,102.0,185.0,54.0,19.0,73.0,13.33,53.0,1
0.0,3.0,4.0,0.0,0.0,4.0,2.0,0.25,2.0,2.0,2.0,1.0,9.0,1.0,0.0,8.0,2.0,2.0,1.0,20.81,9.0,1685.67,0.06,42.0,0.11,93.65,187.3,0.5,1.0,2.0,9.0,0.22,15.0,27.0,10.0,12.0,9.0,0.0,8.0,0
3.0,5.0,3.0,0.0,1.0,6.0,3.0,0.27,2.0,3.0,2.0,0.67,13.0,3.0,1.0,11.0,1.0,1.0,0.33,29.72,13.6,5496.65,0.13,85.0,0.07,305.37,404.17,1.0,2.0,3.0,12.0,0.19,34.0,51.0,15.0,12.0,16.0,8.33,11.0,0
11.0,43.0,16.0,0.0,4.0,76.0,22.0,0.21,34.0,2.24,17.0,0.77,119.0,12.0,0.52,103.0,3.0,18.0,0.82,70.89,48.94,169799.06,1.16,557.0,0.02,9433.28,3469.45,0.55,21.0,38.0,99.0,0.18,208.0,349.0,51.0,24.0,119.0,3.74,103.0,0
0.0,3.0,6.0,0.0,0.0,4.0,2.0,0.13,2.0,2.0,2.0,1.0,12.0,1.0,0.0,16.0,2.0,2.0,1.0,27.13,15.06,6152.97,0.14,81.0,0.07,341.83,408.6,0.5,1.0,2.0,12.0,0.12,32.0,49.0,17.0,16.0,17.0,0.0,16.0,0
2.0,3.0,7.0,0.0,6.0,4.0,2.0,0.11,2.0,2.0,2.0,1.0,14.0,1.0,0.0,18.0,1.0,2.0,1.0,39.51,10.08,4016.74,0.13,82.0,0.1,223.15,398.35,0.5,1.0,2.0,14.0,0.07,33.0,49.0,18.0,11.0,27.0,25.0,18.0,0
0.0,5.0,6.0,0.0,0.0,8.0,3.0,0.14,4.0,2.0,3.0,1.0,18.0,1.0,0.0,22.0,1.0,2.0,0.67,35.04,12.63,5590.85,0.15,87.0,0.08,310.6,442.61,0.33,2.0,4.0,17.0,0.13,32.0,55.0,19.0,15.0,23.0,0.0,22.0,0
7.0,7.0,8.0,0.0,0.0,4.0,5.0,0.14,2.0,2.0,4.0,0.8,30.0,1.0,0.0,36.0,0.0,4.0,0.8,55.99,19.75,21840.0,0.37,198.0,0.05,1213.33,1105.82,0.2,1.0,2.0,27.0,0.11,79.0,119.0,32.0,16.0,44.0,0.0,36.0,1
2.0,3.0,6.0,1.0,0.0,4.0,2.0,0.18,2.0,2.0,2.0,1.0,11.0,1.0,0.0,10.0,1.0,2.0,1.0,25.4,13.71,4777.91,0.12,71.0,0.07,265.44,348.39,0.5,1.0,2.0,11.0,0.14,24.0,47.0,14.0,16.0,14.0,9.09,11.0,1
7.0,12.0,16.0,1.0,0.0,16.0,7.0,0.19,8.0,2.0,6.0,0.86,47.0,1.0,0.0,35.0,0.0,6.0,0.86,67.77,18.76,23842.81,0.42,217.0,0.05,1324.6,1271.18,0.14,4.0,8.0,42.0,0.16,77.0,140.0,39.0,19.0,44.0,2.78,36.0,0
0.0,7.0,5.0,0.0,0.0,10.0,4.0,0.29,4.0,2.5,2.0,0.5,19.0,3.0,0.67,14.0,1.0,2.0,0.5,31.35,9.97,3114.36,0.1,65.0,0.1,173.02,312.48,0.75,3.0,5.0,17.0,0.27,23.0,42.0,15.0,13.0,15.0,0.0,14.0,0
9.0,12.0,10.0,0.0,2.0,14.0,7.0,0.23,6.0,2.33,7.0,1.0,40.0,6.0,0.83,30.0,0.0,6.0,0.86,52.03,24.0,29970.57,0.42,216.0,0.04,1665.03,1248.77,0.86,4.0,7.0,35.0,0.17,84.0,132.0,35.0,20.0,42.0,6.25,30.0,0
