f0,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,f15,f16,f17,f18,f19,f20,f21,f22,f23,target
1914.0,1592.72,23.26,2.5,11.6113,375.0,25523.0,99000.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
2073.0,1404.1496,174.45,27.5,2531.7246,389.0,14584.0,77299.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1
3139.0,85.5504,14.34,5.0,29133.0557,15.0,477.0,4194.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1
139.0,2315.2292,19.25,52.5,267441.2813,636.0,50316.0,52400.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0
139.0,227.862,2.95,42.5,1461620.516,17.0,2568.0,1701.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0
143.0,973.9664,21.86,22.5,920871.0674,421.0,4032.0,15476.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0
174.0,457.6752,96.93,12.5,191.5703,114.0,708.0,22437.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
431.0,32.68,15.45,0.0,6.3379,1.0,0.0,336.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
443.0,1166.4,0.0,28.75,32954801.18,209.0,2400.0,1306.0,9.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0
597.0,763.92,88.87,31.25,314353.6328,82.0,7155.0,21202.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0
619.0,212.41,80.86,2.5,38.6113,17.0,3972.0,2339.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0
924.0,58.89,11.95,23.75,1044714.024,105.0,0.0,645.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1
941.0,69.998,9.56,2.5,28.8105,22.0,192.0,3438.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1
1036.0,3078.39,0.0,0.0,103607.3232,1052.0,0.0,33766.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0
1061.0,423.0128,4.79,2.5,381433.8233,351.0,9552.0,10846.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0
1142.0,2155.3688,0.0,155.0,7929409.408,32.0,348.0,7950.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0
1142.0,817.08,10.5,25.0,69186.7422,116.0,15228.0,7656.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0
1207.0,1753.16,33.38,126.25,1064995.611,361.0,10542.0,63070.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1
