f0,f1,f2,f3,f4,f5,f6,f7,f8,f9,target
1.0,57.26591023,9.0,16.97350769,18.0,12.80111206,36.0,0.480963447,45.0,0.407581693,3
1.0,69.52255626,10.0,19.26246152,19.0,17.19478071,38.0,1.073620564,46.0,1.492282353,3
1.0,39.25809035,7.0,19.39580202,13.0,14.80799075,17.0,17.08265798,27.0,3.00024611,3
1.0,36.06947509,5.0,13.06676955,8.0,13.39826799,21.0,12.46411472,32.0,1.644856987,3
1.0,36.50142642,6.0,29.21263298,13.0,23.73312749,17.0,23.19010872,39.0,2.014536581,3
1.0,23.25647812,7.0,16.34968739,15.0,12.8888556,19.0,14.58819313,29.0,2.793591573,3
1.0,44.27918697,6.0,17.34321799,8.0,18.32821084,10.0,17.58677251,19.0,16.55931065,3
1.0,43.43108153,10.0,11.84016794,19.0,7.604744329,26.0,8.79261602,52.0,0.354004894,3
1.0,25.35121259,6.0,9.58790109,8.0,9.368190171,25.0,4.667374103,40.0,0.338994189,3
1.0,21.4825932,8.0,9.488002839,24.0,5.468747601,35.0,0.632159713,61.0,0.48203506,3
1.0,24.08025647,3.0,15.22804325,20.0,9.53144173,30.0,1.159225192,80.0,0.69188327,3
1.0,16.68959485,7.0,12.50598261,14.0,8.897467625,27.0,8.341632915,63.0,0.276972987,3
1.0,23.49287248,4.0,11.38977911,6.0,12.43133158,8.0,12.04395969,10.0,11.55872158,3
1.0,19.87496833,5.0,10.58812367,25.0,5.473463801,36.0,0.694732656,85.0,0.290227429,3
1.0,11.8670841,4.0,11.03208992,18.0,3.134043325,26.0,3.50604762,39.0,0.32666906,3
1.0,14.83354499,5.0,11.37782128,25.0,5.646733932,36.0,0.696314549,86.0,0.299270913,3
1.0,25.40066189,5.0,14.22329831,7.0,14.59373519,10.0,11.96642278,18.0,8.364914296,3
1.0,23.08950595,5.0,9.020640779,29.0,6.616132926,56.0,0.343331424,68.0,0.340293618,3
1.0,41.28925304,7.0,10.36399622,10.0,10.83588665,25.0,8.571761762,38.0,1.219744236,3
1.0,27.10053266,8.0,13.86225871,16.0,10.18007055,22.0,10.29204246,33.0,1.519996044,3
1.0,34.91310889,4.0,9.716657191,6.0,10.54549042,9.0,11.12897036,22.0,8.280284516,3
1.0,27.41416327,5.0,8.408123568,9.0,8.761756481,21.0,5.881602479,32.0,0.683200138,3
1.0,27.7677288,9.0,11.62620411,17.0,8.191803603,23.0,8.26519461,35.0,1.06294564,3
1.0,22.12816416,6.0,11.22696507,8.0,11.26806953,18.0,7.834528136,24.0,7.327043529,3
1.0,33.7044102,9.0,13.04201571,23.0,10.32106276,45.0,0.39471033,54.0,0.386694795,3
1.0,30.3348281,8.0,11.12039958,21.0,5.611359735,32.0,0.547456451,54.0,0.224475902,3
1.0,50.69211104,8.0,11.48832981,15.0,9.30875112,20.0,7.495944778,54.0,0.325751616,3
1.0,44.78820923,4.0,7.900065465,6.0,8.242319263,8.0,7.870739932,19.0,4.061643327,3
1.0,31.05231203,5.0,6.370003013,9.0,6.158187488,19.0,9.053305477,23.0,15.60275954,5
1.0,32.52135363,10.0,6.064843542,12.0,6.282728947,20.0,11.60952701,25.0,19.3673112,5
1.0,36.18119262,7.0,7.686911344,10.0,7.760117264,19.0,13.00456088,24.0,20.66145571,5
1.0,34.88143417,5.0,8.256579972,9.0,6.896569369,22.0,11.72357953,27.0,16.49734225,5
1.0,27.65166174,5.0,6.859890425,8.0,5.283506259,22.0,7.815223991,28.0,14.61882389,5
1.0,25.4948962,5.0,6.028603986,8.0,5.652649356,26.0,7.898744706,35.0,14.12208232,5
1.0,20.63782437,9.0,4.230719593,15.0,3.307674136,34.0,4.820344856,45.0,8.036080614,5
1.0,36.37476016,4.0,9.359288272,6.0,8.527605109,22.0,12.88822083,28.0,19.65983661,5
2.0,131.1063309,5.0,53.89272162,7.0,50.39467392,10.0,22.94297156,13.0,6.316109475,5
1.0,26.82315893,6.0,3.411980227,9.0,2.616987107,26.0,2.26007038,34.0,3.697720818,5
1.0,27.19827839,5.0,5.862480239,13.0,5.397157181,23.0,8.097770761,30.0,12.40087695,5
1.0,25.76189595,6.0,6.28858439,10.0,4.778851888,24.0,5.022683777,31.0,7.981723317,5
1.0,35.04287812,4.0,8.908409719,12.0,8.140325254,21.0,11.73357714,27.0,14.79340747,5
1.0,22.62332586,10.0,3.639561643,26.0,2.985278744,47.0,4.575464372,59.0,6.803242636,5
1.0,25.04585319,5.0,6.073840236,9.0,4.936802413,24.0,7.667285207,31.0,11.09201609,5
1.0,25.41658747,4.0,6.988033453,13.0,6.200933754,23.0,8.941030273,29.0,11.09618996,5
1.0,27.66337808,7.0,3.73004054,12.0,2.781422379,34.0,3.762930598,43.0,5.726323146,5
1.0,22.18029185,6.0,3.661580805,10.0,2.846077751,34.0,3.740601081,43.0,5.3819228,5
1.0,13.72953122,8.0,2.6731576,24.0,1.74494372,43.0,2.895464083,54.0,4.014914015,5
1.0,18.67045826,6.0,3.627424491,11.0,2.809821593,34.0,4.017677229,42.0,5.98134638,5
1.0,21.2677857,7.0,3.706437794,13.0,2.305511318,36.0,3.417932637,46.0,5.171027691,5
1.0,12.9876768,7.0,2.937581239,18.0,1.921761105,37.0,2.959701963,48.0,4.462126026,5
1.0,28.15034158,4.0,3.931846135,6.0,4.008922735,27.0,3.954103687,35.0,6.49262777,5
1.0,11.7442737,7.0,2.277051396,11.0,2.078992931,49.0,2.373990299,62.0,3.77035337,5
1.0,16.05276696,5.0,3.494524515,19.0,3.335117144,33.0,4.854602217,42.0,5.462396685,5
1.0,21.29441923,4.0,5.326561299,13.0,4.931017038,25.0,7.101522156,32.0,8.845439076,5
1.0,13.10490597,3.0,5.492156624,5.0,2.377331488,51.0,2.048531589,64.0,2.82079153,5
1.0,18.35076765,6.0,2.978717855,8.0,2.817308871,36.0,3.689628604,44.0,4.848901694,5
1.0,12.74853383,4.0,4.072156084,10.0,2.198649927,49.0,2.273949193,61.0,3.036573575,5
1.0,14.49149144,6.0,3.75520637,15.0,2.375600746,31.0,4.064537815,39.0,5.434431231,5
1.0,19.90538461,4.0,5.182136428,6.0,4.849589427,25.0,6.06930578,32.0,8.325416315,5
1.0,19.67419363,4.0,4.771028562,6.0,4.537431253,32.0,5.437844914,39.0,7.44487101,5
1.0,18.66809341,7.0,3.547969843,17.0,3.481058315,29.0,4.84377166,36.0,6.252715803,5
1.0,19.11908606,3.0,7.432292041,7.0,5.557639003,25.0,7.308349982,32.0,10.68612859,5
1.0,34.97183729,5.0,5.982939311,24.0,8.402363251,30.0,10.64740454,75.0,5.024900572,5
1.0,43.7113293,5.0,7.770877789,8.0,6.427202321,20.0,11.01239643,25.0,16.87889685,5
1.0,38.76400521,31.0,5.624724019,42.0,6.843749323,98.0,2.828942528,137.0,1.877407082,5
1.0,58.21321632,9.0,9.214441745,14.0,8.855427137,22.0,12.24751337,28.0,11.72423692,5
1.0,57.02590068,5.0,8.369939412,12.0,6.091978025,22.0,9.96151082,27.0,10.60799214,5
1.0,38.75767867,11.0,5.075890732,14.0,5.112861644,22.0,6.219654466,28.0,7.073083604,5
1.0,30.63385971,13.0,4.316466944,47.0,5.03400499,61.0,4.968597999,64.0,4.912807019,5
1.0,45.83036492,9.0,4.473287247,12.0,4.295050968,50.0,5.095519322,63.0,5.095817156,5
1.0,55.33338145,6.0,7.503589049,16.0,6.94171533,27.0,9.883948077,35.0,9.217291522,5
1.0,38.72696785,6.0,6.991721953,9.0,5.786644472,26.0,5.93389873,35.0,6.876704368,5
1.0,37.66773088,6.0,6.077616791,14.0,5.70825448,29.0,6.302757012,37.0,8.7934,5
1.0,29.94915914,8.0,3.521294251,38.0,3.585473514,40.0,3.592553505,50.0,3.791418588,5
1.0,33.46353021,9.0,3.750130734,39.0,3.486933927,48.0,5.034209571,51.0,4.842109559,5
1.0,48.37027324,8.0,13.20830091,22.0,11.30628914,56.0,0.379533534,58.0,0.367487226,3
1.0,22.5706093,5.0,9.104445516,8.0,9.193560589,19.0,6.604660062,27.0,8.339981352,3
1.0,28.56004322,8.0,12.37493669,17.0,8.709343899,22.0,8.076224361,24.0,8.847555588,3
1.0,34.80781288,7.0,10.58761693,9.0,10.89912355,19.0,8.10313854,27.0,9.185814082,3
1.0,32.74009932,23.0,4.946563498,44.0,3.210556013,61.0,4.405590013,89.0,0.40844903,3
1.0,41.36885765,6.0,5.505766223,11.0,6.519561098,13.0,6.683176063,34.0,5.462593308,3
1.0,32.25321919,4.0,5.077604289,15.0,3.904137989,20.0,4.077608013,23.0,4.144043575,3
1.0,42.35952882,9.0,8.356756872,12.0,7.915324377,23.0,6.108346966,61.0,0.247835933,3
1.0,42.88793638,10.0,12.27092487,19.0,8.523852829,26.0,11.83577288,59.0,0.577895854,3
1.0,39.5164587,9.0,8.795943571,24.0,6.824180574,40.0,0.307581352,59.0,0.294849235,3
1.0,37.72244633,12.0,7.653238768,33.0,7.021833723,47.0,0.615849101,50.0,0.548916759,3
