f0,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,f15,f16,f17,f18,f19,f20,f21,f22,f23,f24,f25,f26,f27,f28,f29,f30,f31,target
21.0,6202.57,347.0,68.0,308.0,5.102941176,57.95,6.16,104.6161511,25.0,0.038441023,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1
19.0,665.8765,57.0,26.0,540.0,2.192307692,116.0765,3.0,30.58078505,13.0,0.122799171,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0
20.0,843.221,306.0,105.0,679.0,2.914285714,-27.4005,4.285714286,5.516550845,7.0,-0.1084391,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0
38.0,355.1172,31.0,20.0,458.0,1.55,76.5577,2.0,31.7357977,9.0,-0.04432965,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0
26.0,13622.0703,613.0,76.0,733.0,8.065789474,1860.0303,7.083333333,47.88915468,12.0,-0.138552,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0
24.0,6322.35,172.0,21.0,285.0,8.19047619,383.46,11.8,143.0075577,5.0,-0.449893323,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0
53.0,6746.67,741.0,29.0,64.0,25.55172414,103.93,27.42857143,137.2970561,7.0,-0.271396692,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0
39.0,1198.2252,867.0,53.0,629.0,16.35849057,384.5283,29.0,37.56728359,10.0,-0.094499698,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1
32.0,710.8569,21.0,16.0,255.0,1.3125,-9.3301,1.333333333,136.9886978,9.0,-0.260838264,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0
27.0,8645.84,329.0,67.0,571.0,4.910447761,305.5,6.0,38.07905264,8.0,0.004617173,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0
22.0,225.6902,79.0,32.0,257.0,2.46875,21.3687,3.5,30.97287351,4.0,-0.099370707,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0
62.0,87013.23,7454.0,422.0,600.0,17.66350711,6030.7,9.862068966,53.95188059,29.0,0.027057136,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0
23.0,1195.5915,101.0,56.0,617.0,1.803571429,57.9936,2.0,13.13578125,2.0,3.442033706,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1
33.0,187.0,13.0,6.0,37.0,2.166666667,187.0,2.0,18.22772613,4.0,0.590185239,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1
39.0,14539.1803,1537.0,142.0,652.0,10.82394366,1683.4403,9.4,16.47084967,10.0,0.144966772,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1
29.0,34.7289,9.0,6.0,99.0,1.5,18.3641,1.0,0.194501851,3.0,-0.391698818,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0
