f0,f1,f2,f3,f4,f5,f6,f7,target
2.9647,11.0,5.180218446601942,0.9969660194174758,4224.0,2.563106796116505,38.49,-121.38,0
2.7042,38.0,4.625368731563422,1.0353982300884956,710.0,2.094395280235988,37.29,-121.89,1
1.8438,52.0,3.06984667802385,1.0442930153321976,2382.0,4.057921635434412,34.07,-118.26,1
3.0718,52.0,5.068965517241379,1.1130268199233717,1128.0,2.160919540229885,37.76,-122.24,1
4.275,37.0,5.653846153846154,1.1634615384615385,436.0,4.1923076923076925,33.85,-117.94,1
3.4107,35.0,5.0339943342776206,1.045325779036827,1158.0,3.2804532577903682,32.72,-117.05,0
3.6486,29.0,4.298245614035087,1.0350877192982457,2175.0,3.1798245614035086,33.89,-118.35,1
2.125,38.0,3.7598647125140925,1.0383314543404736,3612.0,4.072153325817362,34.0,-118.28,0
3.9914,3.0,6.205776173285199,1.0884476534296028,1602.0,2.891696750902527,38.66,-121.46,0
4.1767,34.0,5.356060606060606,0.9962121212121212,983.0,3.7234848484848486,33.92,-118.11,0
5.7559,18.0,6.07223113964687,1.0497592295345104,1843.0,2.958266452648475,33.64,-117.69,1
4.121,16.0,5.308527131782946,1.082170542635659,1940.0,3.007751937984496,32.96,-117.03,1
2.9821,31.0,5.936619718309859,1.204225352112676,1504.0,3.5305164319248825,33.92,-117.5,0
3.4,44.0,4.688235294117647,1.1441176470588235,832.0,2.447058823529412,34.18,-118.32,1
9.2463,39.0,8.12972972972973,1.0432432432432432,1240.0,3.3513513513513513,34.22,-118.21,1
0.9614,28.0,5.3,1.0142857142857142,171.0,2.442857142857143,37.9,-121.28,0
2.3542,43.0,4.921428571428572,1.0,708.0,2.5285714285714285,38.53,-121.48,0
3.25,46.0,5.270949720670391,1.0027932960893855,795.0,2.2206703910614527,32.76,-117.05,0
7.5488,25.0,7.550403225806452,1.0524193548387097,1648.0,3.3225806451612905,33.6,-117.66,1
2.7232,12.0,7.289308176100629,1.3144654088050314,523.0,3.289308176100629,33.84,-117.26,0
1.4429,32.0,4.174757281553398,0.9838187702265372,852.0,2.7572815533980584,36.22,-119.35,0
4.0154,12.0,4.710490463215259,1.1164850136239781,2940.0,2.002724795640327,37.98,-122.07,1
4.9153,17.0,5.203883495145631,0.982200647249191,1916.0,3.100323624595469,33.7,-117.87,1
2.9817,21.0,4.876988335100743,1.0455991516436904,2756.0,2.922587486744433,37.44,-122.07,1
1.0918,52.0,2.2533333333333334,1.2026666666666668,1230.0,3.28,32.71,-117.16,0
4.25,18.0,6.222360248447205,1.0260869565217392,2497.0,3.101863354037267,37.32,-120.61,0
3.1563,31.0,3.2925851703406814,1.0,1253.0,2.5110220440881763,34.42,-119.71,1
2.3667,11.0,4.559602649006623,1.0976821192052981,1328.0,2.198675496688742,36.83,-119.78,0
3.2806,45.0,4.30544747081712,1.0972762645914398,1920.0,3.735408560311284,37.32,-121.88,0
2.0216,32.0,5.685714285714286,1.126530612244898,999.0,4.077551020408163,36.55,-119.79,0
3.0391,20.0,5.59877800407332,1.1710794297352343,1195.0,2.433808553971487,36.41,-118.86,0
4.0132,46.0,4.480295566502463,1.0123152709359606,1534.0,3.7783251231527095,37.73,-122.42,1
2.7188,43.0,5.188755020080321,1.2329317269076305,647.0,2.5983935742971886,38.75,-121.27,0
0.977,40.0,2.3157894736842106,1.186842105263158,582.0,1.5315789473684212,37.81,-122.27,0
2.1908,37.0,3.6699029126213594,0.8932038834951457,503.0,4.883495145631068,34.05,-117.75,0
3.017,19.0,8.096666666666666,1.53,883.0,2.9433333333333334,38.86,-120.02,0
2.8676,30.0,6.205882352941177,1.2411764705882353,629.0,3.7,37.95,-121.22,0
4.4464,52.0,4.394919168591224,1.0646651270207852,831.0,1.9191685912240184,37.79,-122.44,1
1.6186,17.0,4.320441988950276,1.0939226519337018,713.0,1.9696132596685083,36.19,-119.1,0
6.2498,19.0,6.428861788617886,1.0416666666666667,3444.0,3.5,37.64,-122.45,1
6.3688,30.0,5.589743589743589,0.9461538461538461,1050.0,2.6923076923076925,34.24,-118.27,1
4.5938,8.0,6.4957805907173,1.1772151898734178,1572.0,3.3164556962025316,33.65,-116.31,0
3.7538,4.0,5.251325556733828,1.0604453870625663,2912.0,3.088016967126193,33.54,-117.16,0
1.3177,30.0,4.268135904499541,1.1496786042240588,2524.0,2.317722681359045,38.58,-121.54,0
1.7798,30.0,5.428057553956834,1.1079136690647482,967.0,3.4784172661870505,37.94,-121.25,0
13.1477,11.0,7.822064056939502,0.896797153024911,883.0,3.1423487544483986,33.51,-117.71,1
2.6402,43.0,3.707317073170732,1.0365853658536586,705.0,2.8658536585365852,34.03,-118.38,1
2.0441,33.0,5.983758700696056,1.308584686774942,1155.0,2.679814385150812,35.63,-117.66,0
3.3989,25.0,3.8832913518052057,1.0973971452560873,1739.0,1.4601175482787574,34.08,-118.38,1
