f0,f1,target
1.0,15600.0,1
1.0,14650.0,0
1.0,15001.0,1
1.0,15628.0,1
1.0,14222.0,1
1.0,14222.0,0
1.0,15065.0,0
1.0,14916.0,0
1.0,14477.0,0
1.0,14308.0,1
1.0,14239.0,0
1.0,14202.0,0
1.0,12978.0,1
1.0,14511.0,1
1.0,13726.0,0
1.0,13555.0,0
1.0,13544.0,1
1.0,13723.0,0
1.0,13293.0,1
1.0,14333.0,0
1.0,13050.0,1
1.0,13207.0,1
1.0,13501.0,0
1.0,12548.0,1
1.0,13224.0,0
2.0,16423.0,1
2.0,15156.0,0
2.0,15973.0,0
2.0,14576.0,0
2.0,15361.0,0
2.0,14288.0,0
2.0,14711.0,0
2.0,14259.0,0
2.0,14290.0,0
2.0,13833.0,0
2.0,14033.0,0
2.0,12963.0,0
2.0,14255.0,0
2.0,12614.0,1
2.0,13175.0,0
2.0,12595.0,1
2.0,12219.0,0
3.0,22331.0,0
3.0,17063.0,0
3.0,15851.0,0
3.0,16113.0,1
3.0,15448.0,0
3.0,15421.0,1
3.0,15434.0,1
3.0,13597.0,1
3.0,15278.0,0
3.0,14724.0,1
3.0,15275.0,0
3.0,14450.0,1
3.0,14803.0,1
3.0,14033.0,0
3.0,14587.0,0
3.0,14201.0,0
3.0,13977.0,1
3.0,14570.0,1
3.0,14231.0,1
3.0,12890.0,1
3.0,14516.0,0
3.0,14039.0,0
3.0,14136.0,0
3.0,13505.0,1
3.0,12714.0,1
3.0,14371.0,0
3.0,13762.0,0
3.0,13669.0,1
3.0,13602.0,0
3.0,13721.0,1
3.0,13297.0,1
3.0,12948.0,0
4.0,22934.0,0
4.0,17819.0,1
4.0,18266.0,0
4.0,17188.0,0
4.0,16960.0,0
4.0,16040.0,0
4.0,16719.0,1
4.0,16457.0,0
4.0,15617.0,1
4.0,15705.0,0
4.0,15680.0,1
4.0,15756.0,0
4.0,15593.0,0
4.0,14099.0,0
4.0,13628.0,0
4.0,15556.0,1
4.0,14973.0,0
4.0,14874.0,0
4.0,13659.0,1
4.0,13554.0,0
4.0,13994.0,0
4.0,13685.0,0
4.0,13626.0,1
4.0,13240.0,0
4.0,12784.0,1
5.0,24161.0,0
5.0,22067.0,0
5.0,18125.0,1
5.0,20043.0,0
5.0,18311.0,0
5.0,18666.0,0
5.0,18913.0,0
5.0,19673.0,0
5.0,17666.0,1
5.0,17994.0,0
5.0,17682.0,0
5.0,16841.0,0
5.0,16159.0,1
5.0,15282.0,1
5.0,15795.0,0
5.0,14040.0,1
5.0,14973.0,1
5.0,14650.0,1
5.0,13148.0,0
5.0,12433.0,1
6.0,21995.0,1
6.0,21487.0,0
6.0,20966.0,1
6.0,18911.0,1
6.0,21349.0,0
6.0,18129.0,1
6.0,17847.0,0
6.0,18681.0,0
6.0,18146.0,0
6.0,17929.0,0
6.0,17643.0,0
6.0,18878.0,1
6.0,17367.0,1
6.0,17644.0,1
6.0,17666.0,0
6.0,17591.0,0
6.0,18275.0,0
6.0,17182.0,0
6.0,17311.0,1
6.0,16693.0,0
6.0,15663.0,0
6.0,16842.0,0
6.0,16396.0,0
6.0,17049.0,1
6.0,16502.0,0
6.0,15435.0,0
6.0,15200.0,0
6.0,16040.0,1
6.0,16783.0,0
6.0,15488.0,0
6.0,15591.0,0
6.0,14704.0,0
6.0,14742.0,0
6.0,14870.0,1
6.0,14348.0,0
6.0,15336.0,0
6.0,14455.0,0
7.0,13723.0,1
7.0,13726.0,1
7.0,12767.0,1
7.0,12952.0,1
7.0,11618.0,1
7.0,11700.0,1
7.0,12502.0,1
7.0,13320.0,1
7.0,10473.0,1
7.0,11885.0,1
7.0,11688.0,1
7.0,11419.0,1
7.0,11337.0,1
7.0,13183.0,1
7.0,10499.0,1
7.0,10859.0,1
7.0,10982.0,1
7.0,10176.0,1
7.0,12317.0,1
7.0,11412.0,1
7.0,11077.0,1
7.0,10856.0,1
7.0,10383.0,1
7.0,10232.0,1
7.0,9569.0,1
7.0,9939.0,1
7.0,10252.0,1
7.0,9781.0,1
7.0,9426.0,1
