f0,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,f15,f16,f17,f18,f19,f20,f21,f22,f23,f24,f25,f26,f27,f28,f29,f30,f31,target
21.0,6202.57,347.0,68.0,308.0,5.102941176,57.95,0.367245324,0.410294399,3.456178239,0.155682957,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1
19.0,665.8765,57.0,26.0,540.0,2.192307692,116.0765,-0.239091972,-0.06947528,1.344292586,0.273148218,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0
20.0,843.221,306.0,105.0,679.0,2.914285714,-27.4005,0.00760946,-0.23189846,0.288349759,-0.048841587,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0
38.0,355.1172,31.0,20.0,458.0,1.55,76.5577,-0.430970863,-0.061990478,0.640330701,0.040428191,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0
26.0,13622.0703,613.0,76.0,733.0,8.065789474,1860.0303,0.5444135,0.04268775,1.168302115,-0.090772564,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0
24.0,6322.35,172.0,21.0,285.0,8.19047619,383.46,1.449442271,0.659081349,-0.063631183,-0.524302583,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0
53.0,6746.67,741.0,29.0,64.0,25.55172414,103.93,4.448235228,0.622075716,0.288349759,-0.275753347,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0
39.0,1198.2252,867.0,53.0,629.0,16.35849057,384.5283,4.749759199,-0.024200834,0.816321172,-0.029431542,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1
32.0,710.8569,21.0,16.0,255.0,1.3125,-9.3301,-0.558890124,0.620077469,0.640330701,-0.26105117,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0
27.0,8645.84,329.0,67.0,571.0,4.910447761,305.5,0.336544702,-0.020884429,0.46434023,0.108584634,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0
