f0,f1,f2,f3,f4,f5,f6,target
0.881067,0.404255,0.029452,0.523802,0.001955,0.542465,0.582018,1
0.014114,0.319149,0.106311,0.579738,0.003467,0.422915,0.414912,1
0.456219,0.914894,0.032785,0.50967,0.002208,0.461419,0.614035,0
0.456484,0.595745,0.033626,0.341714,0.002237,0.367167,0.495175,1
0.461042,0.340426,0.029873,0.385451,0.002036,0.230192,0.523684,0
0.424494,0.085106,0.055242,0.08435,0.003467,0.422915,0.414912,0
0.030972,0.510638,0.084274,0.38679,0.003467,0.422915,0.414912,1
0.022521,1.0,0.074457,0.413716,0.003467,0.422915,0.414912,0
0.903102,0.680851,0.054161,0.459387,0.003639,0.468928,0.456579,0
0.429715,0.404255,0.09259,0.610681,0.003467,0.422915,0.414912,1
0.027034,0.0,0.048487,0.225528,0.003467,0.422915,0.414912,0
0.885226,0.893617,0.028342,0.465784,0.001959,0.42465,0.398246,0
0.473253,0.87234,0.024018,0.360309,0.00161,0.306059,0.516667,0
0.437901,0.085106,0.042032,0.230586,0.003467,0.422915,0.414912,0
0.460643,0.978723,0.037108,0.506546,0.002489,0.472035,0.430263,0
0.867838,0.723404,0.036328,0.500744,0.002416,0.607716,0.320175,1
0.89381,1.0,0.053921,0.564713,0.003652,0.506473,0.487719,0
0.460599,0.085106,0.027771,0.307944,0.001801,0.411186,0.680263,0
0.473475,0.978723,0.028762,0.423683,0.00194,0.364578,0.533772,1
0.429494,0.0,0.051849,0.377417,0.003467,0.422915,0.414912,0
0.433653,0.851064,0.042032,0.338441,0.003467,0.422915,0.414912,0
0.018583,0.06383,0.045965,0.326837,0.003467,0.422915,0.414912,0
0.465422,0.489362,0.027831,0.331747,0.001454,0.272398,0.712719,1
0.893722,0.191489,0.01339,0.187295,0.000862,0.245728,0.734649,0
0.902748,0.361702,0.083614,0.52767,0.005525,0.645262,0.483333,1
0.45675,0.340426,0.029092,0.469206,0.00177,0.316416,0.707018,0
0.911685,0.87234,0.042722,0.373252,0.002867,0.449249,0.401316,0
0.908057,0.0,0.063318,0.42413,0.004256,0.397721,0.519737,0
0.425645,0.255319,0.067641,0.114698,0.003467,0.422915,0.414912,1
0.876775,0.553191,0.059145,0.794555,0.003928,0.627913,0.46886,1
0.446706,0.255319,0.040771,0.422345,0.001824,0.400829,0.749561,0
0.433653,0.106383,0.041251,0.12645,0.003467,0.422915,0.414912,0
0.460865,0.531915,0.104179,0.534365,0.007194,0.451579,0.285965,1
0.884828,0.659574,0.030893,0.567242,0.002117,0.539358,0.426316,0
0.013406,0.234043,0.071905,0.214668,0.003467,0.422915,0.414912,0
0.017433,0.787234,0.119731,0.560845,0.003467,0.422915,0.414912,1
0.897925,0.042553,0.084995,0.568581,0.005667,0.52667,0.600439,1
0.893854,0.170213,0.042602,0.25781,0.002754,0.365355,0.708772,0
0.456219,0.191489,0.024859,0.171526,0.000976,0.261264,0.875439,0
0.47436,0.106383,0.021016,0.03734,0.001398,0.134386,0.791228,0
0.000265,0.276596,0.047106,0.367599,0.003467,0.422915,0.414912,0
0.014336,0.510638,0.104329,0.522315,0.003467,0.422915,0.414912,1
0.881465,0.255319,0.028852,0.345582,0.001845,0.381926,0.547807,0
0.468962,0.93617,0.028492,0.430378,0.001899,0.251165,0.650439,0
0.880448,0.361702,0.038549,0.533323,0.002659,0.494821,0.297807,1
0.911907,0.042553,0.048277,0.294704,0.003209,0.422061,0.528947,1
0.430069,0.93617,0.070584,0.443916,0.003467,0.422915,0.414912,1
0.018318,0.382979,0.078029,0.464148,0.003467,0.422915,0.414912,1
0.018052,0.425532,0.074637,0.391996,0.003467,0.422915,0.414912,1
0.90788,0.595745,0.077189,0.540167,0.005118,0.535215,0.467982,1
0.452148,0.212766,0.033025,0.17956,0.001978,0.180735,0.637281,0
0.89912,0.340426,0.096523,0.605326,0.006558,0.663387,0.323246,1
0.438919,0.787234,0.051759,0.421452,0.003467,0.422915,0.414912,1
0.898102,0.361702,0.075958,0.635525,0.005056,0.680994,0.445614,1
0.438742,0.021277,0.050588,0.408212,0.003467,0.422915,0.414912,0
0.890359,0.446809,0.028942,0.714222,0.002029,0.686432,0.354825,0
0.451086,0.404255,0.040981,0.705296,0.00269,0.709995,0.382456,0
0.875979,0.06383,0.029422,0.209313,0.001932,0.359399,0.524123,0
0.429671,0.489362,0.115768,0.65665,0.003467,0.422915,0.414912,1
0.004425,1.0,0.07902,0.523654,0.003467,0.422915,0.414912,1
0.424627,0.617021,0.073286,0.290241,0.003467,0.422915,0.414912,0
0.877085,0.12766,0.028762,0.139988,0.001894,0.189539,0.575,0
0.868192,0.87234,0.027621,0.434097,0.000841,0.37856,0.746491,0
0.424848,0.851064,0.058394,0.333383,0.003467,0.422915,0.414912,0
0.44321,0.319149,0.042752,0.36507,0.002808,0.248576,0.661404,0
0.434627,0.340426,0.061967,0.247248,0.003467,0.422915,0.414912,1
0.871776,0.531915,0.029242,0.556084,0.001832,0.658726,0.646491,1
0.907393,1.0,0.079801,0.45418,0.005544,0.490161,0.385526,1
0.009734,0.042553,0.045154,0.489289,0.003467,0.422915,0.414912,0
0.004867,0.297872,0.074817,0.510562,0.003467,0.422915,0.414912,1
0.469493,1.0,0.040411,0.418179,0.002682,0.33972,0.619298,1
0.906774,0.297872,0.047136,0.382178,0.003189,0.342828,0.578509,0
0.907128,0.702128,0.089138,0.495983,0.005908,0.597877,0.52193,1
0.460909,0.851064,0.069233,0.672865,0.004747,0.438115,0.489912,0
0.44675,0.255319,0.03993,0.405534,0.002453,0.360694,0.707018,0
0.889562,0.531915,0.035307,0.55296,0.002476,0.57276,0.27193,0
0.01376,0.234043,0.045755,0.124814,0.003467,0.422915,0.414912,1
0.871687,0.595745,0.027291,0.329515,0.001683,0.205075,0.830263,0
0.894828,0.340426,0.113426,0.805266,0.007543,0.736406,0.381579,1
0.000708,0.489362,0.044224,0.500893,0.003467,0.422915,0.414912,0
0.455865,0.468085,0.033175,0.468313,0.001583,0.249871,0.710526,0
0.000133,0.404255,0.089798,0.550878,0.003467,0.422915,0.414912,1
0.030884,0.361702,0.059595,0.550283,0.003467,0.422915,0.414912,0
0.438034,0.021277,0.046806,0.241,0.003467,0.422915,0.414912,0
0.447591,0.234043,0.034376,0.303184,0.001309,0.254013,0.765789,0
0.030928,0.510638,0.102258,0.59402,0.003467,0.422915,0.414912,1
0.447148,0.808511,0.043413,0.669146,0.003087,0.583635,0.315351,0
0.031503,0.808511,0.057314,0.405832,0.003467,0.422915,0.414912,0
0.45998,0.723404,0.032455,0.499702,0.002262,0.489125,0.243421,0
0.000354,0.0,0.121713,0.486314,0.003467,0.422915,0.414912,0
0.911597,0.744681,0.043293,0.459685,0.00285,0.477991,0.53114,0
0.009823,0.12766,0.040591,0.184766,0.003467,0.422915,0.414912,0
0.443476,0.319149,0.088657,0.550283,0.006076,0.583894,0.431579,1
0.903102,0.978723,0.088657,0.460428,0.005995,0.489125,0.346491,1
0.434583,1.0,0.047526,0.232966,0.003467,0.422915,0.414912,1
0.877085,0.574468,0.056203,0.58435,0.003988,0.516313,0.170614,1
0.885049,0.93617,0.0659,0.45418,0.00436,0.313309,0.591667,1
0.460422,0.170213,0.025429,0.159179,0.00172,0.212325,0.640789,0
0.465422,0.276596,0.02621,0.141476,0.001286,0.128172,0.712719,0
0.456661,0.148936,0.02657,0.265992,0.001622,0.302175,0.780702,0
0.911243,0.765957,0.043983,0.500893,0.002833,0.325997,0.65307,0
0.460378,0.404255,0.045064,0.571705,0.003085,0.553858,0.281579,0
0.452015,0.148936,0.033566,0.308093,0.002248,0.306318,0.765789,0
0.02668,1.0,0.050498,0.25543,0.003467,0.422915,0.414912,0
0.898146,0.404255,0.100817,0.743677,0.006624,0.726567,0.543421,1
0.880536,0.595745,0.03975,0.633889,0.002752,0.55101,0.359211,0
0.456528,0.489362,0.040471,0.602202,0.002673,0.657172,0.514912,1
0.875979,0.808511,0.03987,0.509819,0.002551,0.445365,0.693421,1
0.885005,0.829787,0.089138,0.460726,0.005985,0.429052,0.363158,1
0.425822,1.0,0.077189,0.398096,0.003467,0.422915,0.414912,0
0.437857,0.148936,0.042843,0.133889,0.003467,0.422915,0.414912,0
0.009646,0.170213,0.041281,0.216453,0.003467,0.422915,0.414912,0
0.027167,0.382979,0.080161,0.493752,0.003467,0.422915,0.414912,1
0.009336,0.87234,0.119761,0.718239,0.003467,0.422915,0.414912,1
0.451175,0.659574,0.041462,0.576465,0.002742,0.523563,0.459649,0
0.455998,0.191489,0.030984,0.248289,0.002052,0.275505,0.82193,0
0.434052,0.0,0.046655,0.24219,0.003467,0.422915,0.414912,0
0.885359,0.553191,0.120782,0.366111,0.00322,0.263335,0.690789,1
0.880581,0.446809,0.03924,0.56263,0.002619,0.510875,0.504386,1
0.477988,0.723404,0.038039,0.457304,0.002653,0.43682,0.175877,1
0.433476,0.468085,0.076828,0.58435,0.003467,0.422915,0.414912,1
0.875935,0.680851,0.040411,0.703065,0.002611,0.585189,0.550877,1
0.889784,0.042553,0.090309,0.541654,0.006051,0.52175,0.533772,1
0.0223,0.446809,0.088928,0.574829,0.003467,0.422915,0.414912,1
0.894695,0.787234,0.186352,0.908361,0.012073,0.790264,0.473684,1
0.429317,0.765957,0.070914,0.472478,0.003467,0.422915,0.414912,0
