f0,f1,f2,f3,f4,f5,target
35.0,0.64,0.0,0.0,0.0,0.0,1
37.0,0.68,0.0,0.0,0.0,0.0,1
49.0,0.68,0.0,0.0,0.0,0.0,0
46.0,0.72,0.0,0.0,0.0,0.0,1
63.0,0.72,0.0,0.0,0.0,0.0,1
39.0,0.76,0.0,0.0,0.0,0.0,0
46.0,0.76,0.0,0.0,0.0,0.0,1
56.0,0.76,0.0,0.0,0.0,0.0,1
63.0,0.76,0.0,0.0,0.0,0.0,1
65.0,0.76,0.0,0.0,0.0,0.0,0
56.0,0.8,0.0,0.0,0.0,0.0,1
65.0,0.8,0.0,0.0,0.0,0.0,1
70.0,0.8,0.0,0.0,0.0,0.0,0
63.0,0.84,0.0,0.0,0.0,0.0,0
65.0,0.84,0.0,0.0,0.0,0.0,0
70.0,0.84,0.0,0.0,0.0,0.0,1
77.0,0.84,0.0,0.0,0.0,0.0,1
81.0,0.84,0.0,0.0,0.0,0.0,1
86.0,0.84,0.0,0.0,0.0,0.0,1
70.0,0.88,0.0,0.0,0.0,0.0,0
70.0,0.88,0.0,0.0,0.0,0.0,1
77.0,0.92,0.0,0.0,0.0,0.0,0
77.0,0.92,0.0,0.0,0.0,0.0,0
81.0,0.92,0.0,0.0,0.0,0.0,0
77.0,0.94,0.0,0.0,0.0,0.0,0
40.0,0.64,1.0,0.0,1.0,0.0,1
37.0,0.7,1.0,0.0,1.0,0.0,1
44.0,0.72,1.0,0.0,1.0,0.0,1
47.0,0.72,1.0,0.0,1.0,0.0,1
47.0,0.72,1.0,0.0,1.0,0.0,1
47.0,0.76,1.0,0.0,1.0,0.0,1
68.0,0.78,1.0,0.0,1.0,0.0,0
47.0,0.8,1.0,0.0,1.0,0.0,1
54.0,0.84,1.0,0.0,1.0,0.0,0
61.0,0.84,1.0,0.0,1.0,0.0,1
71.0,0.84,1.0,0.0,1.0,0.0,1
75.0,0.84,1.0,0.0,1.0,0.0,1
89.0,0.84,1.0,0.0,1.0,0.0,1
58.0,0.88,1.0,0.0,1.0,0.0,0
59.0,0.88,1.0,0.0,1.0,0.0,0
62.0,0.88,1.0,0.0,1.0,0.0,1
79.0,0.88,1.0,0.0,1.0,0.0,0
96.0,0.88,1.0,0.0,1.0,0.0,0
58.0,0.92,1.0,0.0,1.0,0.0,0
62.0,0.92,1.0,0.0,1.0,0.0,1
70.0,0.92,1.0,0.0,1.0,0.0,0
72.0,0.92,1.0,0.0,1.0,0.0,1
75.0,0.92,1.0,0.0,1.0,0.0,1
96.0,0.92,1.0,0.0,1.0,0.0,1
75.0,0.94,1.0,0.0,1.0,0.0,0
