f0,f1,target
50.0,5.0,0
40.0,5.0,0
30.0,5.0,0
20.0,5.0,0
10.0,5.0,0
0.0,5.0,0
-10.0,5.0,0
-20.0,5.0,0
-30.0,5.0,0
-40.0,5.0,0
-50.0,5.0,1
-60.0,5.0,1
50.0,10.0,0
40.0,10.0,0
30.0,10.0,0
20.0,10.0,0
10.0,10.0,0
0.0,10.0,0
-10.0,10.0,0
-20.0,10.0,0
-30.0,10.0,1
-40.0,10.0,1
-50.0,10.0,1
-60.0,10.0,1
50.0,15.0,0
40.0,15.0,0
30.0,15.0,0
20.0,15.0,0
10.0,15.0,0
0.0,15.0,0
-10.0,15.0,0
-20.0,15.0,1
-30.0,15.0,1
-40.0,15.0,1
-50.0,15.0,1
-60.0,15.0,1
50.0,20.0,0
40.0,20.0,0
30.0,20.0,0
20.0,20.0,0
10.0,20.0,0
0.0,20.0,0
-10.0,20.0,1
-20.0,20.0,1
-30.0,20.0,1
-40.0,20.0,1
-50.0,20.0,1
-60.0,20.0,1
50.0,25.0,0
40.0,25.0,0
30.0,25.0,0
20.0,25.0,0
10.0,25.0,0
0.0,25.0,0
-10.0,25.0,1
-20.0,25.0,1
-30.0,25.0,1
-40.0,25.0,1
-50.0,25.0,1
-60.0,25.0,1
50.0,30.0,0
40.0,30.0,0
30.0,30.0,0
20.0,30.0,0
10.0,30.0,0
0.0,30.0,0
-10.0,30.0,1
-20.0,30.0,1
-30.0,30.0,1
-40.0,30.0,1
-50.0,30.0,1
-60.0,30.0,1
50.0,35.0,0
40.0,35.0,0
30.0,35.0,0
20.0,35.0,0
10.0,35.0,0
0.0,35.0,1
-10.0,35.0,1
-20.0,35.0,1
-30.0,35.0,1
-40.0,35.0,1
-50.0,35.0,1
-60.0,35.0,1
50.0,40.0,0
40.0,40.0,0
30.0,40.0,0
20.0,40.0,0
10.0,40.0,0
0.0,40.0,1
-10.0,40.0,1
-20.0,40.0,1
-30.0,40.0,1
-40.0,40.0,1
-50.0,40.0,1
-60.0,40.0,1
50.0,45.0,0
40.0,45.0,0
30.0,45.0,0
20.0,45.0,0
10.0,45.0,0
0.0,45.0,1
-10.0,45.0,1
-20.0,45.0,1
-30.0,45.0,1
-40.0,45.0,1
-50.0,45.0,1
-60.0,45.0,1
50.0,50.0,0
40.0,50.0,0
30.0,50.0,0
20.0,50.0,0
10.0,50.0,0
0.0,50.0,1
-10.0,50.0,1
-20.0,50.0,1
-30.0,50.0,1
-40.0,50.0,1
-50.0,50.0,1
-60.0,50.0,1
