f0,f1,target
85.0,3.0,1
85.0,7.0,0
85.0,5.0,1
85.0,12.0,0
85.0,7.0,0
85.0,0.0,1
85.0,2.0,1
85.0,2.0,1
85.0,2.0,1
85.0,4.0,1
85.0,1.0,1
85.0,11.0,0
85.0,5.0,0
85.0,14.0,0
85.0,3.0,1
85.0,10.0,0
85.0,10.0,0
85.0,4.0,1
85.0,3.0,1
85.0,10.0,0
85.0,8.0,0
85.0,2.0,1
85.0,7.0,0
85.0,6.0,1
85.0,9.0,0
85.0,2.0,1
85.0,11.0,0
85.0,3.0,1
85.0,4.0,1
85.0,1.0,1
85.0,6.0,0
85.0,2.0,1
85.0,4.0,1
85.0,7.0,0
85.0,7.0,0
85.0,8.0,0
85.0,7.0,0
85.0,11.0,0
85.0,6.0,0
85.0,7.0,0
85.0,5.0,1
85.0,8.0,0
85.0,10.0,0
85.0,4.0,0
85.0,5.0,1
85.0,6.0,1
85.0,5.0,0
85.0,4.0,0
85.0,6.0,1
85.0,11.0,0
85.0,12.0,0
85.0,3.0,1
85.0,7.0,1
85.0,5.0,1
85.0,11.0,0
85.0,1.0,1
85.0,6.0,0
85.0,4.0,1
85.0,5.0,1
85.0,7.0,0
85.0,3.0,1
85.0,6.0,0
85.0,5.0,1
85.0,6.0,1
85.0,6.0,0
85.0,2.0,1
85.0,4.0,1
85.0,1.0,1
85.0,9.0,0
85.0,10.0,0
85.0,5.0,1
85.0,8.0,0
85.0,3.0,0
85.0,8.0,0
85.0,3.0,1
85.0,7.0,1
85.0,9.0,0
85.0,10.0,0
85.0,2.0,1
85.0,8.0,0
85.0,9.0,0
85.0,4.0,1
85.0,1.0,1
86.0,7.0,0
86.0,5.0,0
86.0,11.0,0
86.0,9.0,0
86.0,6.0,0
86.0,7.0,0
86.0,9.0,0
86.0,1.0,1
86.0,9.0,0
86.0,10.0,0
86.0,11.0,0
86.0,6.0,1
86.0,9.0,0
86.0,5.0,1
86.0,9.0,0
86.0,10.0,0
86.0,6.0,0
86.0,12.0,0
86.0,4.0,1
86.0,7.0,0
86.0,7.0,0
