dataset,KNN,DecisionTree,RandomForest,GaussianNB,SVM
openml_1StudentPerfromance_43255,0.854207,0.812564,0.841512,0.662547,0.870411
openml_acute-inflammations_1556,1.0,1.0,1.0,0.815686,0.382751
openml_algerian_forest_fires_46279,0.889389,0.979152,0.987485,0.945947,0.906846
openml_analcatdata_boxing2_444,0.66857,0.656045,0.721423,0.747514,0.793583
openml_anneal_2,0.629332,0.935187,0.972557,0.801398,0.172946
openml_appendicitis_test_edsa_45613,0.778991,0.692294,0.778341,0.78054,0.733302
openml_ar1_1059,0.475919,0.571087,0.547234,0.590832,0.480662
openml_ar4_1061,0.657134,0.698014,0.712581,0.739537,0.666634
openml_ar6_1064,0.453698,0.574415,0.559143,0.631429,0.56498
openml_arsenic-male-bladder_947,0.798286,0.769712,0.818975,0.826111,0.8166
openml_Australian_40981,0.696895,0.814154,0.869149,0.769489,0.723131
openml_autoHorse_840,0.855835,0.971364,0.972121,0.890919,0.826314
openml_autoMpg_831,0.85422,0.88706,0.91791,0.881378,0.871974
openml_autoPrice_756,0.907348,0.944503,0.957427,0.924337,0.885666
openml_autos_9,0.242245,0.796815,0.779711,0.602319,0.185726
openml_autoUniv-au6-1000_1555,0.135361,0.208046,0.157315,0.122847,0.048387
openml_auto_price_745,0.907348,0.944503,0.957427,0.912284,0.859018
openml_backache_463,0.45943,0.528908,0.462687,0.29067,0.462687
openml_badges2_1121,0.77117,1.0,1.0,1.0,0.416673
openml_balance-scale_11,0.610305,0.574962,0.595174,0.626322,0.627365
openml_banknote-authentication_1462,1.0,0.983026,0.992624,0.836508,0.996316
openml_baseball_185,0.632109,0.596229,0.690771,0.59209,0.524041
openml_biomed_481,0.730743,0.82781,0.904137,0.885565,0.395615
openml_blogger_1463,0.651872,0.796425,0.768267,0.627642,0.796585
openml_blood-transfusion-service-center_1464,0.604005,0.56899,0.613977,0.561702,0.447383
openml_bodyfat_778,0.786787,0.996072,0.996072,0.788138,0.744583
openml_boston_corrected_825,0.814065,0.815557,0.865335,0.796268,0.7297
openml_braziltourism_186,0.201401,0.26131,0.22165,0.190609,0.162134
openml_breast-cancer_13,0.551415,0.563334,0.592905,0.430966,0.5949
openml_breastTumor_844,0.561996,0.530775,0.514672,0.393674,0.367246
openml_bridges_327,0.297037,0.503391,0.566667,0.400212,0.083333
openml_bwin_amlb_45717,0.481686,0.544135,0.509166,0.498144,0.400449
openml_calendarDOW_40663,0.555065,0.578806,0.576052,0.508847,0.283097
openml_california_seed_2_nrows_2000_nclasses_10_ncols_100_stratify_True_44364,0.534207,0.77124,0.85395,0.467895,0.448866
openml_cars1_40700,0.599011,0.722806,0.793277,0.569717,0.459857
openml_cars_455,0.596255,0.729677,0.79059,0.56832,0.453732
openml_car_991,0.757633,0.939087,0.911844,0.791951,0.973486
openml_CastMetal1_1447,0.46216,0.613376,0.473591,0.60248,0.465694
openml_chatfield_4_820,0.850586,0.842042,0.874874,0.865422,0.785815
openml_cholesterol_798,0.504582,0.538213,0.522502,0.550258,0.351357
openml_chscase_funds_801,0.56468,0.596534,0.577746,0.64077,0.66418
openml_cleveland_786,0.636354,0.713004,0.820046,0.787436,0.619219
openml_cleve_40710,0.6589,0.729693,0.809329,0.827271,0.619302
openml_climate-model-simulation-crashes_1467,0.472603,0.626654,0.516358,0.656886,0.477754
openml_cloud_890,0.793896,0.834274,0.550351,0.462194,0.413039
openml_cmc_23,0.453648,0.462954,0.477111,0.43912,0.369067
openml_colic_25,0.660317,0.546032,0.660317,0.660317,0.660317
